wavelength_nm,value
414.13,1107.0
417.32,1228.0
420.52,1232.0
423.72,1289.0
426.91,1251.0
430.11,1293.0
433.31,1166.0
436.5,1300.0
439.7,1321.0
442.9,1405.0
446.09,1382.0
449.29,1374.0
452.49,1377.0
455.68,1336.0
458.88,1410.0
462.08,1410.0
465.27,1379.0
468.47,1321.0
471.67,1364.0
474.86,1431.0
478.06,1476.0
481.26,1478.0
484.45,1467.0
487.65,1495.0
490.85,1448.0
494.04,1434.0
497.24,1497.0
500.43,1584.0
503.63,1489.0
506.83,1490.0
510.03,1514.0
513.22,1552.0
516.42,1615.0
519.61,1541.0
522.81,1538.0
526.01,1543.0
529.2,1515.0
532.4,1570.0
535.6,1601.0
538.79,1638.0
541.99,1643.0
545.19,1634.0
548.38,1645.0
551.58,1612.0
554.78,1658.0
557.97,1669.0
561.17,1668.0
564.37,1649.0
567.56,1676.0
570.76,1719.0
573.96,1712.0
577.15,1660.0
580.35,1675.0
583.55,1696.0
586.74,1748.0
589.94,1807.0
593.14,1717.0
596.33,1731.0
599.53,1742.0
602.73,1769.0
605.92,1794.0
609.12,1787.0
612.32,1736.0
615.51,1754.0
618.71,1719.0
621.91,1745.0
625.1,1814.0
628.3,1797.0
631.5,1764.0
634.69,1788.0
637.89,1797.0
641.09,1814.0
644.28,1811.0
647.48,1859.0
650.67,1782.0
653.87,1802.0
657.07,1790.0
660.27,1720.0
663.46,1770.0
666.66,1828.0
669.85,1851.0
673.05,1825.0
676.25,1853.0
679.45,1841.0
682.64,1850.0
685.84,1999.0
689.03,1989.0
692.23,1979.0
695.43,1969.0
698.62,1958.0
701.82,1948.0
705.02,1938.0
708.21,1928.0
711.41,1918.0
714.61,1908.0
717.8,1898.0
721.0,1888.0
724.2,1878.0
727.39,1868.0
730.59,1858.0
733.79,1848.0
736.98,1838.0
740.18,1828.0
743.38,1866.0
746.57,1905.0
749.77,1907.0
752.97,1913.0
756.16,1918.0
759.36,1924.0
762.56,1929.0
765.75,1935.0
768.95,1940.0
772.15,1946.0
775.34,1947.0
778.54,1927.0
781.74,1938.0
784.93,1965.0
788.13,1962.0
791.33,1963.0
794.52,1964.0
797.72,1965.0
800.92,1966.0
804.11,1967.0
807.31,1968.0
810.51,1969.0
813.7,1970.0
816.9,1971.0
820.1,1971.0
823.29,1972.0
826.49,1973.0
829.68,1974.0
832.88,1975.0
836.08,1976.0
839.28,1977.0
842.47,1978.0
845.67,1991.0
848.86,1991.0
852.06,2012.0
855.26,1943.0
858.46,1893.0
861.65,1946.0
864.85,1947.0
868.04,1951.0
871.24,1944.0
874.44,1953.0
877.63,1908.0
880.83,1936.0
884.03,1873.0
887.22,2011.0
890.42,1935.0
893.62,1999.0
896.81,1997.0
900.01,1990.0
903.21,1983.0
906.4,1977.0
909.6,1970.0
912.8,1963.0
915.99,1957.0
919.19,1952.0
922.39,1947.0
925.58,1942.0
928.78,1937.0
931.98,1931.0
935.17,1927.0
938.37,1923.0
941.57,1918.0
944.76,1912.0
947.96,1908.0
951.16,1905.0
954.35,1901.0
957.55,1896.0
960.75,1890.0
963.94,1884.0
967.14,1877.0
970.1,1870.0
975.54,1864.0
980.98,1852.0
986.42,1838.0
991.86,1824.0
997.3,1813.0
1002.74,1805.0
1008.18,1764.0
1013.62,1808.0
1019.06,1824.0
1024.5,1803.0
1029.95,1782.0
1035.39,1764.0
1040.83,1756.0
1046.27,1780.0
1051.71,1798.0
1057.15,1854.0
1062.59,1843.0
1068.03,1829.0
1073.47,1785.0
1078.91,1787.0
1084.35,1768.0
1089.79,1767.0
1095.23,1758.0
1100.67,1746.0
1106.11,1737.0
1111.55,1727.0
1116.99,1719.0
1122.43,1711.0
1127.87,1699.0
1133.32,1689.0
1138.76,1685.0
1144.2,1682.0
1149.64,1677.0
1155.08,1666.0
1160.52,1654.0
1165.96,1644.0
1171.4,1633.0
1176.84,1621.0
1182.28,1611.0
1187.72,1619.0
1193.16,1627.0
1198.6,1752.0
1204.04,1687.0
1209.48,1699.0
1214.92,1686.0
1220.36,1734.0
1225.8,1756.0
1231.24,1744.0
1236.69,1785.0
1242.13,1819.0
1247.57,1819.0
1253.01,1837.0
1258.45,1853.0
1263.89,1883.0
1269.33,1820.0
1274.77,1732.0
1280.21,1813.0
1285.65,1791.0
1291.09,1821.0
1296.53,1835.0
1301.97,1834.0
1307.41,1816.0
1312.85,1825.0
1318.29,1736.0
1323.73,1733.0
1329.17,2039.0
1334.61,2006.0
1340.06,1970.0
1345.5,1930.0
1350.94,1889.0
1356.38,1846.0
1361.82,1804.0
1367.26,1764.0
1372.7,1725.0
1378.14,1689.0
1383.58,1655.0
1389.02,1623.0
1394.46,1593.0
1399.9,1564.0
1405.34,1535.0
1410.78,1506.0
1416.22,1478.0
1421.66,1449.0
1427.1,1421.0
1432.54,1394.0
1437.98,1367.0
1443.43,1342.0
1448.87,1319.0
1454.31,1297.0
1459.75,1276.0
1465.19,1255.0
1470.63,1234.0
1476.07,1212.0
1481.51,1188.0
1486.95,1160.0
1492.39,1132.0
1497.83,1212.0
1503.27,1332.0
1508.71,1315.0
1514.15,1462.0
1519.59,1481.0
1525.03,1530.0
1530.47,1555.0
1535.91,1613.0
1541.35,1652.0
1546.8,1653.0
1552.24,1647.0
1557.68,1668.0
1563.12,1639.0
1568.56,1712.0
1574.0,1649.0
1579.44,1590.0
1584.88,1608.0
1590.32,1617.0
1595.76,1593.0
1601.2,1628.0
1606.64,1620.0
1612.08,1644.0
1617.52,1570.0
1622.96,1592.0
1628.4,1626.0
1633.84,1590.0
1639.28,1595.0
1644.72,1602.0
1650.17,1567.0
1655.61,1579.0
1661.05,1575.0
1666.49,1583.0
1671.93,1557.0
1677.37,1582.0
1682.81,1591.0
1688.25,1537.0
1693.69,1528.0
1699.13,1515.0
1704.57,1493.0
1710.01,1446.0
1715.45,1460.0
1720.89,1458.0
1726.33,1464.0
1731.77,1437.0
1737.21,1478.0
1742.65,1450.0
1748.09,1468.0
1753.54,1453.0
1758.98,1414.0
1764.42,1460.0
1769.86,1337.0
1775.3,1382.0
1780.74,1376.0
1786.18,1368.0
1791.62,1358.0
1797.06,1348.0
1802.5,1336.0
1807.94,1324.0
1813.38,1311.0
1818.82,1299.0
1824.26,1287.0
1829.7,1276.0
1835.14,1266.0
1840.58,1257.0
1846.02,1249.0
1851.46,1241.0
1856.91,1235.0
1862.35,1228.0
1867.79,1223.0
1873.23,1217.0
1878.67,1212.0
1884.11,1206.0
1889.55,1201.0
1894.99,1196.0
1900.43,1191.0
1905.87,1186.0
1911.31,1181.0
1916.75,1177.0
1922.19,1174.0
1927.63,1171.0
1933.07,1169.0
1938.51,1168.0
1943.95,1168.0
1949.39,1168.0
1954.83,1169.0
1960.28,1169.0
1965.72,1169.0
1971.16,1169.0
1976.6,1168.0
1982.04,1166.0
1987.48,1162.0
1992.92,1157.0
1998.36,1017.0
2003.8,1696.0
2009.24,1184.0
2014.68,1410.0
2020.12,1463.0
2025.56,1445.0
2031.0,1415.0
2036.44,1347.0
2041.88,1370.0
2047.32,1252.0
2052.76,1384.0
2058.2,1340.0
2063.65,1372.0
2069.09,1444.0
2074.53,1438.0
2079.97,1367.0
2085.41,1393.0
2090.85,1378.0
2096.29,1370.0
2101.73,1400.0
2107.17,1327.0
2112.61,1353.0
2118.05,1345.0
2123.49,1351.0
2128.93,1358.0
2134.37,1337.0
2139.81,1328.0
2145.25,1278.0
2150.69,1348.0
2156.13,1324.0
2161.57,1330.0
2167.02,1347.0
2172.46,1293.0
2177.9,1285.0
2183.34,1290.0
2188.78,1316.0
2194.22,1251.0
2199.66,1291.0
2205.1,1356.0
2210.54,1269.0
2215.98,1332.0
2221.42,1263.0
2226.86,1268.0
2232.3,1238.0
2237.74,1243.0
2243.18,1215.0
2248.62,1246.0
2254.06,1174.0
2259.5,1129.0
2264.94,1102.0
2270.39,1074.0
2275.83,1092.0
2281.27,1038.0
2286.71,1031.0
2292.15,994.0
2297.59,966.0
2303.03,933.0
2308.47,932.0
2313.91,866.0
2319.35,1007.0
2324.79,990.0
2330.23,910.0
2335.67,835.0
2341.11,883.0
2346.55,825.0
2351.99,1030.0
2357.43,982.0
2362.87,813.0
2368.32,881.0
2373.76,914.0
2379.2,821.0
2384.64,927.0
2390.08,966.0
2395.52,939.0
2400.96,774.0
2406.4,740.0
2411.84,673.0
2417.28,1071.0
2422.72,1037.0
2428.16,833.0
2433.6,1072.0
2439.04,837.0
2444.48,389.0
2449.92,1573.0
2455.36,1023.0
2460.8,816.0
2466.24,677.0
2471.69,1148.0
2477.13,749.0
2482.57,1135.0
2488.01,0.0
2493.45,2194.0
2498.89,493.0
