wavelength_nm,value
414.13,600.0
417.32,630.0
420.52,622.0
423.72,595.0
426.91,631.0
430.11,596.0
433.31,593.0
436.5,584.0
439.7,637.0
442.9,598.0
446.09,655.0
449.29,608.0
452.49,637.0
455.68,614.0
458.88,639.0
462.08,626.0
465.27,617.0
468.47,616.0
471.67,620.0
474.86,643.0
478.06,668.0
481.26,715.0
484.45,669.0
487.65,688.0
490.85,659.0
494.04,648.0
497.24,672.0
500.43,710.0
503.63,684.0
506.83,693.0
510.03,688.0
513.22,706.0
516.42,724.0
519.61,674.0
522.81,664.0
526.01,718.0
529.2,671.0
532.4,689.0
535.6,708.0
538.79,743.0
541.99,718.0
545.19,716.0
548.38,728.0
551.58,705.0
554.78,721.0
557.97,752.0
561.17,737.0
564.37,726.0
567.56,745.0
570.76,739.0
573.96,724.0
577.15,731.0
580.35,701.0
583.55,726.0
586.74,747.0
589.94,749.0
593.14,722.0
596.33,727.0
599.53,709.0
602.73,736.0
605.92,728.0
609.12,739.0
612.32,737.0
615.51,718.0
618.71,713.0
621.91,737.0
625.1,740.0
628.3,742.0
631.5,740.0
634.69,741.0
637.89,725.0
641.09,740.0
644.28,750.0
647.48,782.0
650.67,745.0
653.87,732.0
657.07,746.0
660.27,685.0
663.46,737.0
666.66,726.0
669.85,753.0
673.05,741.0
676.25,752.0
679.45,757.0
682.64,733.0
685.84,828.0
689.03,825.0
692.23,822.0
695.43,818.0
698.62,815.0
701.82,812.0
705.02,808.0
708.21,805.0
711.41,802.0
714.61,799.0
717.8,795.0
721.0,792.0
724.2,789.0
727.39,785.0
730.59,782.0
733.79,779.0
736.98,775.0
740.18,772.0
743.38,767.0
746.57,776.0
749.77,809.0
752.97,808.0
756.16,808.0
759.36,807.0
762.56,806.0
765.75,806.0
768.95,805.0
772.15,805.0
775.34,807.0
778.54,839.0
781.74,822.0
784.93,847.0
788.13,823.0
791.33,822.0
794.52,821.0
797.72,820.0
800.92,819.0
804.11,818.0
807.31,817.0
810.51,815.0
813.7,814.0
816.9,813.0
820.1,812.0
823.29,811.0
826.49,810.0
829.68,809.0
832.88,808.0
836.08,806.0
839.28,805.0
842.47,804.0
845.67,859.0
848.86,847.0
852.06,839.0
855.26,855.0
858.46,831.0
861.65,844.0
864.85,888.0
868.04,878.0
871.24,815.0
874.44,846.0
877.63,806.0
880.83,843.0
884.03,817.0
887.22,888.0
890.42,871.0
893.62,954.0
896.81,953.0
900.01,946.0
903.21,939.0
906.4,933.0
909.6,927.0
912.8,920.0
915.99,914.0
919.19,908.0
922.39,903.0
925.58,897.0
928.78,891.0
931.98,885.0
935.17,880.0
938.37,874.0
941.57,869.0
944.76,863.0
947.96,857.0
951.16,853.0
954.35,847.0
957.55,841.0
960.75,835.0
963.94,829.0
967.14,823.0
970.1,816.0
975.54,810.0
980.98,799.0
986.42,786.0
991.86,774.0
997.3,764.0
1002.74,754.0
1008.18,754.0
1013.62,750.0
1019.06,772.0
1024.5,760.0
1029.95,746.0
1035.39,739.0
1040.83,727.0
1046.27,743.0
1051.71,760.0
1057.15,760.0
1062.59,775.0
1068.03,777.0
1073.47,746.0
1078.91,753.0
1084.35,746.0
1089.79,746.0
1095.23,743.0
1100.67,738.0
1106.11,735.0
1111.55,732.0
1116.99,729.0
1122.43,726.0
1127.87,722.0
1133.32,718.0
1138.76,717.0
1144.2,717.0
1149.64,715.0
1155.08,711.0
1160.52,707.0
1165.96,703.0
1171.4,699.0
1176.84,695.0
1182.28,691.0
1187.72,696.0
1193.16,700.0
1198.6,749.0
1204.04,721.0
1209.48,730.0
1214.92,717.0
1220.36,734.0
1225.8,748.0
1231.24,759.0
1236.69,773.0
1242.13,776.0
1247.57,781.0
1253.01,786.0
1258.45,813.0
1263.89,815.0
1269.33,790.0
1274.77,751.0
1280.21,777.0
1285.65,772.0
1291.09,780.0
1296.53,799.0
1301.97,796.0
1307.41,781.0
1312.85,792.0
1318.29,747.0
1323.73,772.0
1329.17,907.0
1334.61,892.0
1340.06,876.0
1345.5,858.0
1350.94,839.0
1356.38,820.0
1361.82,801.0
1367.26,783.0
1372.7,766.0
1378.14,750.0
1383.58,734.0
1389.02,720.0
1394.46,706.0
1399.9,693.0
1405.34,680.0
1410.78,667.0
1416.22,654.0
1421.66,641.0
1427.1,629.0
1432.54,616.0
1437.98,605.0
1443.43,593.0
1448.87,583.0
1454.31,573.0
1459.75,563.0
1465.19,554.0
1470.63,544.0
1476.07,534.0
1481.51,523.0
1486.95,511.0
1492.39,498.0
1497.83,501.0
1503.27,566.0
1508.71,552.0
1514.15,621.0
1519.59,634.0
1525.03,645.0
1530.47,653.0
1535.91,689.0
1541.35,710.0
1546.8,693.0
1552.24,703.0
1557.68,727.0
1563.12,707.0
1568.56,745.0
1574.0,710.0
1579.44,695.0
1584.88,681.0
1590.32,691.0
1595.76,692.0
1601.2,713.0
1606.64,705.0
1612.08,713.0
1617.52,682.0
1622.96,691.0
1628.4,702.0
1633.84,703.0
1639.28,719.0
1644.72,697.0
1650.17,702.0
1655.61,698.0
1661.05,702.0
1666.49,707.0
1671.93,703.0
1677.37,717.0
1682.81,718.0
1688.25,712.0
1693.69,696.0
1699.13,701.0
1704.57,699.0
1710.01,696.0
1715.45,699.0
1720.89,702.0
1726.33,686.0
1731.77,671.0
1737.21,694.0
1742.65,686.0
1748.09,689.0
1753.54,688.0
1758.98,685.0
1764.42,681.0
1769.86,619.0
1775.3,656.0
1780.74,653.0
1786.18,648.0
1791.62,643.0
1797.06,638.0
1802.5,631.0
1807.94,625.0
1813.38,619.0
1818.82,612.0
1824.26,606.0
1829.7,601.0
1835.14,595.0
1840.58,590.0
1846.02,586.0
1851.46,582.0
1856.91,578.0
1862.35,575.0
1867.79,572.0
1873.23,568.0
1878.67,565.0
1884.11,562.0
1889.55,559.0
1894.99,556.0
1900.43,553.0
1905.87,550.0
1911.31,548.0
1916.75,545.0
1922.19,543.0
1927.63,541.0
1933.07,540.0
1938.51,539.0
1943.95,538.0
1949.39,537.0
1954.83,537.0
1960.28,537.0
1965.72,536.0
1971.16,535.0
1976.6,534.0
1982.04,533.0
1987.48,530.0
1992.92,527.0
1998.36,535.0
2003.8,870.0
2009.24,676.0
2014.68,763.0
2020.12,781.0
2025.56,670.0
2031.0,651.0
2036.44,610.0
2041.88,619.0
2047.32,576.0
2052.76,663.0
2058.2,611.0
2063.65,643.0
2069.09,670.0
2074.53,679.0
2079.97,646.0
2085.41,652.0
2090.85,659.0
2096.29,642.0
2101.73,654.0
2107.17,639.0
2112.61,630.0
2118.05,645.0
2123.49,647.0
2128.93,653.0
2134.37,650.0
2139.81,625.0
2145.25,644.0
2150.69,657.0
2156.13,623.0
2161.57,631.0
2167.02,655.0
2172.46,620.0
2177.9,604.0
2183.34,625.0
2188.78,632.0
2194.22,615.0
2199.66,616.0
2205.1,669.0
2210.54,616.0
2215.98,650.0
2221.42,643.0
