wavelength_nm,value
414.13,277.0
417.32,292.0
420.52,283.0
423.72,305.0
426.91,346.0
430.11,386.0
433.31,309.0
436.5,341.0
439.7,337.0
442.9,339.0
446.09,354.0
449.29,334.0
452.49,375.0
455.68,372.0
458.88,394.0
462.08,386.0
465.27,380.0
468.47,384.0
471.67,390.0
474.86,425.0
478.06,467.0
481.26,471.0
484.45,489.0
487.65,459.0
490.85,490.0
494.04,488.0
497.24,516.0
500.43,562.0
503.63,528.0
506.83,552.0
510.03,556.0
513.22,607.0
516.42,624.0
519.61,602.0
522.81,610.0
526.01,644.0
529.2,652.0
532.4,650.0
535.6,683.0
538.79,740.0
541.99,731.0
545.19,730.0
548.38,759.0
551.58,770.0
554.78,783.0
557.97,825.0
561.17,805.0
564.37,820.0
567.56,826.0
570.76,849.0
573.96,835.0
577.15,843.0
580.35,838.0
583.55,855.0
586.74,892.0
589.94,897.0
593.14,866.0
596.33,866.0
599.53,871.0
602.73,876.0
605.92,874.0
609.12,861.0
612.32,855.0
615.51,875.0
618.71,892.0
621.91,885.0
625.1,925.0
628.3,894.0
631.5,902.0
634.69,925.0
637.89,925.0
641.09,923.0
644.28,932.0
647.48,966.0
650.67,916.0
653.87,924.0
657.07,895.0
660.27,880.0
663.46,910.0
666.66,893.0
669.85,902.0
673.05,898.0
676.25,898.0
679.45,903.0
682.64,912.0
685.84,977.0
689.03,946.0
692.23,916.0
695.43,885.0
698.62,855.0
701.82,824.0
705.02,794.0
708.21,763.0
711.41,733.0
714.61,702.0
717.8,672.0
721.0,641.0
724.2,611.0
727.39,580.0
730.59,550.0
733.79,519.0
736.98,489.0
740.18,458.0
743.38,453.0
746.57,474.0
749.77,456.0
752.97,458.0
756.16,460.0
759.36,462.0
762.56,464.0
765.75,466.0
768.95,467.0
772.15,469.0
775.34,493.0
778.54,477.0
781.74,495.0
784.93,483.0
788.13,481.0
791.33,475.0
794.52,470.0
797.72,464.0
800.92,459.0
804.11,453.0
807.31,448.0
810.51,442.0
813.7,437.0
816.9,431.0
820.1,426.0
823.29,420.0
826.49,415.0
829.68,410.0
832.88,404.0
836.08,399.0
839.28,393.0
842.47,388.0
845.67,391.0
848.86,367.0
852.06,359.0
855.26,367.0
858.46,348.0
861.65,333.0
864.85,364.0
868.04,337.0
871.24,335.0
874.44,316.0
877.63,315.0
880.83,314.0
884.03,316.0
887.22,312.0
890.42,330.0
893.62,309.0
896.81,309.0
900.01,304.0
903.21,299.0
906.4,294.0
909.6,289.0
912.8,284.0
915.99,279.0
919.19,274.0
922.39,270.0
925.58,265.0
928.78,260.0
931.98,255.0
935.17,250.0
938.37,245.0
941.57,240.0
944.76,235.0
947.96,230.0
951.16,225.0
954.35,220.0
957.55,215.0
960.75,210.0
963.94,205.0
967.14,200.0
970.1,196.0
975.54,191.0
980.98,183.0
986.42,174.0
991.86,166.0
997.3,157.0
1002.74,149.0
1008.18,129.0
1013.62,132.0
1019.06,146.0
1024.5,147.0
1029.95,141.0
1035.39,140.0
1040.83,145.0
1046.27,147.0
1051.71,145.0
1057.15,156.0
1062.59,160.0
1068.03,158.0
1073.47,156.0
1078.91,144.0
1084.35,142.0
1089.79,139.0
1095.23,136.0
1100.67,134.0
1106.11,131.0
1111.55,129.0
1116.99,126.0
1122.43,123.0
1127.87,121.0
1133.32,118.0
1138.76,116.0
1144.2,113.0
1149.64,111.0
1155.08,108.0
1160.52,105.0
1165.96,103.0
1171.4,100.0
1176.84,98.0
1182.28,95.0
1187.72,92.0
1193.16,90.0
1198.6,90.0
1204.04,88.0
1209.48,99.0
1214.92,90.0
1220.36,101.0
1225.8,107.0
1231.24,85.0
1236.69,101.0
1242.13,92.0
1247.57,99.0
1253.01,96.0
1258.45,95.0
1263.89,92.0
1269.33,104.0
1274.77,94.0
1280.21,97.0
1285.65,89.0
1291.09,94.0
1296.53,99.0
1301.97,95.0
1307.41,98.0
1312.85,84.0
1318.29,84.0
1323.73,77.0
1329.17,77.0
1334.61,75.0
1340.06,73.0
1345.5,71.0
1350.94,69.0
1356.38,67.0
1361.82,65.0
1367.26,63.0
1372.7,61.0
1378.14,59.0
1383.58,57.0
1389.02,55.0
1394.46,53.0
1399.9,51.0
1405.34,49.0
1410.78,47.0
1416.22,45.0
1421.66,43.0
1427.1,41.0
1432.54,39.0
1437.98,37.0
1443.43,35.0
1448.87,33.0
1454.31,31.0
1459.75,29.0
1465.19,27.0
1470.63,25.0
1476.07,23.0
1481.51,21.0
1486.95,19.0
1492.39,17.0
1497.83,50.0
1503.27,68.0
1508.71,55.0
1514.15,52.0
1519.59,58.0
1525.03,57.0
1530.47,54.0
1535.91,60.0
1541.35,61.0
1546.8,55.0
1552.24,53.0
1557.68,57.0
1563.12,74.0
1568.56,48.0
1574.0,59.0
1579.44,77.0
1584.88,56.0
1590.32,61.0
1595.76,53.0
1601.2,68.0
1606.64,59.0
1612.08,67.0
1617.52,65.0
1622.96,59.0
1628.4,57.0
1633.84,68.0
1639.28,60.0
1644.72,65.0
1650.17,64.0
1655.61,61.0
1661.05,67.0
1666.49,59.0
1671.93,57.0
1677.37,64.0
1682.81,62.0
1688.25,68.0
1693.69,59.0
1699.13,71.0
1704.57,57.0
1710.01,66.0
1715.45,63.0
1720.89,54.0
1726.33,48.0
1731.77,56.0
1737.21,71.0
1742.65,46.0
1748.09,53.0
1753.54,65.0
1758.98,51.0
1764.42,55.0
1769.86,47.0
1775.3,23.0
1780.74,23.0
1786.18,23.0
1791.62,23.0
1797.06,23.0
1802.5,23.0
1807.94,24.0
1813.38,24.0
1818.82,24.0
1824.26,24.0
1829.7,24.0
1835.14,24.0
1840.58,24.0
1846.02,24.0
1851.46,24.0
1856.91,24.0
1862.35,24.0
1867.79,24.0
1873.23,25.0
1878.67,25.0
1884.11,25.0
1889.55,25.0
1894.99,25.0
1900.43,25.0
1905.87,25.0
1911.31,25.0
1916.75,25.0
1922.19,25.0
1927.63,25.0
1933.07,26.0
1938.51,26.0
1943.95,26.0
1949.39,26.0
1954.83,26.0
1960.28,26.0
1965.72,26.0
1971.16,26.0
1976.6,26.0
1982.04,27.0
1987.48,27.0
1992.92,27.0
1998.36,11.0
2003.8,85.0
2009.24,0.0
2014.68,628.0
2020.12,40.0
2025.56,36.0
2031.0,25.0
2036.44,34.0
2041.88,42.0
2047.32,37.0
2052.76,20.0
2058.2,17.0
2063.65,17.0
2069.09,78.0
2074.53,33.0
2079.97,39.0
2085.41,24.0
2090.85,17.0
2096.29,53.0
2101.73,44.0
2107.17,31.0
2112.61,20.0
2118.05,48.0
2123.49,40.0
2128.93,22.0
2134.37,41.0
2139.81,54.0
2145.25,26.0
2150.69,27.0
2156.13,36.0
2161.57,0.0
2167.02,31.0
2172.46,18.0
2177.9,16.0
2183.34,58.0
2188.78,41.0
2194.22,37.0
2199.66,43.0
2205.1,51.0
2210.54,41.0
2215.98,52.0
2221.42,17.0
2226.86,18.0
2232.3,5.0
2237.74,47.0
2243.18,16.0
2248.62,23.0
2254.06,18.0
2259.5,5.0
2264.94,49.0
2270.39,1.0
2275.83,53.0
2281.27,56.0
2286.71,6.0
2292.15,730.0
2297.59,694.0
2303.03,672.0
2308.47,658.0
2313.91,14.0
2319.35,16.0
2324.79,35.0
2330.23,48.0
2335.67,39.0
2341.11,42.0
2346.55,29.0
2351.99,36.0
2357.43,36.0
2362.87,16.0
2368.32,702.0
2373.76,50.0
2379.2,35.0
2384.64,40.0
2390.08,52.0
2395.52,88.0
2400.96,42.0
2406.4,24.0
2411.84,177.0
2417.28,182.0
2422.72,106.0
2428.16,38.0
2433.6,106.0
2439.04,23.0
2444.48,220.0
2449.92,66.0
2455.36,138.0
2460.8,47.0
2466.24,629.0
2471.69,925.0
2477.13,3.0
2482.57,1099.0
2488.01,4203.0
2493.45,1731.0
2498.89,1439.0
