wavelength_nm,value
2058.2,49.0
2063.65,63.0
2069.09,73.0
2074.53,58.0
2079.97,46.0
2085.41,29.0
2090.85,56.0
2096.29,55.0
2101.73,39.0
2107.17,39.0
2112.61,48.0
2118.05,33.0
2123.49,20.0
2128.93,50.0
2134.37,43.0
2139.81,41.0
2145.25,58.0
2150.69,62.0
2156.13,57.0
2161.57,40.0
2167.02,40.0
2172.46,18.0
2177.9,51.0
2183.34,54.0
2188.78,64.0
2194.22,54.0
2199.66,46.0
2205.1,47.0
2210.54,81.0
2215.98,52.0
2221.42,36.0
2226.86,78.0
2232.3,52.0
2237.74,42.0
2243.18,55.0
2248.62,48.0
2254.06,59.0
2259.5,51.0
2264.94,54.0
2270.39,64.0
2275.83,62.0
2281.27,40.0
2286.71,17.0
2292.15,65.0
2297.59,0.0
2303.03,17.0
2308.47,52.0
2313.91,24.0
2319.35,18.0
2324.79,38.0
2330.23,9.0
2335.67,56.0
2341.11,60.0
2346.55,60.0
2351.99,24.0
2357.43,59.0
2362.87,22.0
2368.32,110.0
2373.76,4.0
2379.2,14.0
2384.64,141.0
2390.08,109.0
2395.52,61.0
2400.96,12.0
2406.4,90.0
2411.84,123.0
2417.28,219.0
2422.72,540.0
2428.16,58.0
2433.6,96.0
2439.04,105.0
2444.48,106.0
2449.92,0.0
2455.36,21.0
2460.8,471.0
2466.24,0.0
2471.69,4.0
2477.13,76.0
2482.57,2762.0
2488.01,4239.0
2493.45,944.0
2498.89,1410.0
