wavelength_nm,value
1856.91,3531.0
1862.35,3518.0
1867.79,3507.0
1873.23,3497.0
1878.67,3487.0
1884.11,3477.0
1889.55,3467.0
1894.99,3457.0
1900.43,3448.0
1905.87,3439.0
1911.31,3431.0
1916.75,3425.0
1922.19,3421.0
1927.63,3419.0
1933.07,3420.0
1938.51,3422.0
1943.95,3427.0
1949.39,3434.0
1954.83,3441.0
1960.28,3449.0
1965.72,3456.0
1971.16,3461.0
1976.6,3464.0
1982.04,3464.0
1987.48,3458.0
1992.92,3451.0
1998.36,3030.0
2003.8,4209.0
2009.24,3450.0
2014.68,4143.0
2020.12,4188.0
2025.56,4126.0
2031.0,4116.0
2036.44,3934.0
2041.88,4028.0
2047.32,3705.0
2052.76,3939.0
2058.2,3940.0
2063.65,4069.0
2069.09,4154.0
2074.53,4233.0
2079.97,4094.0
2085.41,4117.0
2090.85,4094.0
2096.29,4067.0
2101.73,4128.0
2107.17,4046.0
2112.61,4042.0
2118.05,4066.0
2123.49,4074.0
2128.93,4162.0
2134.37,4126.0
2139.81,4068.0
2145.25,3954.0
2150.69,4101.0
2156.13,4058.0
2161.57,4023.0
2167.02,4097.0
2172.46,3994.0
2177.9,3941.0
2183.34,3952.0
2188.78,4046.0
2194.22,3895.0
2199.66,4041.0
2205.1,4102.0
2210.54,3877.0
2215.98,4022.0
2221.42,4019.0
2226.86,3996.0
2232.3,3935.0
2237.74,4008.0
2243.18,3919.0
2248.62,3954.0
2254.06,3916.0
2259.5,3875.0
2264.94,3844.0
2270.39,3924.0
2275.83,3910.0
2281.27,3854.0
2286.71,3783.0
2292.15,3776.0
2297.59,3975.0
2303.03,3981.0
2308.47,3861.0
2313.91,3494.0
2319.35,3920.0
2324.79,3967.0
2330.23,3671.0
2335.67,3449.0
2341.11,3627.0
2346.55,3315.0
2351.99,3935.0
2357.43,3756.0
2362.87,2949.0
2368.32,3419.0
2373.76,3611.0
2379.2,3262.0
2384.64,3776.0
2390.08,3646.0
2395.52,3546.0
2400.96,3093.0
2406.4,3109.0
2411.84,2729.0
2417.28,4323.0
2422.72,3849.0
2428.16,3149.0
2433.6,3829.0
2439.04,3241.0
2444.48,1735.0
2449.92,4038.0
2455.36,4009.0
2460.8,2519.0
2466.24,2490.0
2471.69,2734.0
2477.13,1737.0
2482.57,2997.0
2488.01,78.0
2493.45,8352.0
2498.89,2436.0
