wavelength_nm,value
414.13,309.0
417.32,296.0
420.52,275.0
423.72,307.0
426.91,314.0
430.11,371.0
433.31,335.0
436.5,339.0
439.7,329.0
442.9,349.0
446.09,365.0
449.29,352.0
452.49,366.0
455.68,366.0
458.88,408.0
462.08,401.0
465.27,403.0
468.47,392.0
471.67,381.0
474.86,401.0
478.06,427.0
481.26,454.0
484.45,473.0
487.65,477.0
490.85,454.0
494.04,467.0
497.24,511.0
500.43,543.0
503.63,497.0
506.83,521.0
510.03,533.0
513.22,569.0
516.42,589.0
519.61,576.0
522.81,570.0
526.01,615.0
529.2,595.0
532.4,630.0
535.6,649.0
538.79,686.0
541.99,684.0
545.19,701.0
548.38,699.0
551.58,718.0
554.78,748.0
557.97,786.0
561.17,769.0
564.37,760.0
567.56,771.0
570.76,780.0
573.96,791.0
577.15,785.0
580.35,800.0
583.55,809.0
586.74,827.0
589.94,861.0
593.14,847.0
596.33,830.0
599.53,823.0
602.73,830.0
605.92,856.0
609.12,841.0
612.32,835.0
615.51,851.0
618.71,835.0
621.91,864.0
625.1,876.0
628.3,877.0
631.5,871.0
634.69,880.0
637.89,886.0
641.09,883.0
644.28,918.0
647.48,937.0
650.67,885.0
653.87,907.0
657.07,915.0
660.27,849.0
663.46,894.0
666.66,895.0
669.85,911.0
673.05,898.0
676.25,901.0
679.45,894.0
682.64,892.0
685.84,1004.0
689.03,976.0
692.23,949.0
695.43,922.0
698.62,895.0
701.82,868.0
705.02,840.0
708.21,813.0
711.41,786.0
714.61,759.0
717.8,732.0
721.0,705.0
724.2,677.0
727.39,650.0
730.59,623.0
733.79,596.0
736.98,569.0
740.18,541.0
743.38,571.0
746.57,605.0
749.77,585.0
752.97,587.0
756.16,588.0
759.36,590.0
762.56,591.0
765.75,593.0
768.95,594.0
772.15,596.0
775.34,586.0
778.54,610.0
781.74,593.0
784.93,630.0
788.13,632.0
791.33,621.0
794.52,610.0
797.72,599.0
800.92,588.0
804.11,577.0
807.31,566.0
810.51,554.0
813.7,543.0
816.9,532.0
820.1,521.0
823.29,510.0
826.49,499.0
829.68,488.0
832.88,477.0
836.08,466.0
839.28,455.0
842.47,444.0
845.67,477.0
848.86,492.0
852.06,460.0
855.26,489.0
858.46,459.0
861.65,453.0
864.85,423.0
868.04,449.0
871.24,407.0
874.44,440.0
877.63,408.0
880.83,396.0
884.03,400.0
887.22,401.0
890.42,375.0
893.62,386.0
896.81,386.0
900.01,379.0
903.21,372.0
906.4,365.0
909.6,358.0
912.8,352.0
915.99,345.0
919.19,338.0
922.39,331.0
925.58,324.0
928.78,317.0
931.98,310.0
935.17,303.0
938.37,297.0
941.57,290.0
944.76,283.0
947.96,276.0
951.16,269.0
954.35,262.0
957.55,255.0
960.75,249.0
963.94,242.0
967.14,235.0
970.1,228.0
975.54,222.0
980.98,210.0
986.42,198.0
991.86,187.0
997.3,175.0
1002.74,163.0
1008.18,133.0
1013.62,145.0
1019.06,151.0
1024.5,150.0
1029.95,152.0
1035.39,161.0
1040.83,164.0
1046.27,167.0
1051.71,178.0
1057.15,188.0
1062.59,174.0
1068.03,194.0
1073.47,175.0
1078.91,177.0
1084.35,174.0
1089.79,170.0
1095.23,167.0
1100.67,164.0
1106.11,160.0
1111.55,157.0
1116.99,153.0
1122.43,150.0
1127.87,147.0
1133.32,143.0
1138.76,140.0
1144.2,136.0
1149.64,133.0
1155.08,130.0
1160.52,126.0
1165.96,123.0
1171.4,120.0
1176.84,116.0
1182.28,113.0
1187.72,109.0
1193.16,106.0
1198.6,109.0
1204.04,115.0
1209.48,102.0
1214.92,108.0
1220.36,109.0
1225.8,112.0
1231.24,117.0
1236.69,106.0
1242.13,113.0
1247.57,110.0
1253.01,109.0
1258.45,99.0
1263.89,115.0
1269.33,120.0
1274.77,115.0
1280.21,115.0
1285.65,112.0
1291.09,117.0
1296.53,105.0
1301.97,100.0
1307.41,115.0
1312.85,108.0
1318.29,95.0
1323.73,97.0
1329.17,82.0
1334.61,80.0
1340.06,79.0
1345.5,77.0
1350.94,75.0
1356.38,74.0
1361.82,72.0
1367.26,70.0
1372.7,69.0
1378.14,67.0
1383.58,66.0
1389.02,64.0
1394.46,63.0
1399.9,61.0
1405.34,60.0
1410.78,58.0
1416.22,57.0
1421.66,55.0
1427.1,54.0
1432.54,52.0
1437.98,51.0
1443.43,49.0
1448.87,48.0
1454.31,46.0
1459.75,45.0
1465.19,43.0
1470.63,42.0
1476.07,40.0
1481.51,39.0
1486.95,37.0
1492.39,36.0
1497.83,53.0
1503.27,53.0
1508.71,63.0
1514.15,48.0
1519.59,52.0
1525.03,59.0
1530.47,68.0
1535.91,70.0
1541.35,66.0
1546.8,63.0
1552.24,74.0
1557.68,69.0
1563.12,75.0
1568.56,57.0
1574.0,72.0
1579.44,59.0
1584.88,68.0
1590.32,54.0
1595.76,58.0
1601.2,71.0
1606.64,72.0
1612.08,69.0
1617.52,67.0
1622.96,67.0
1628.4,75.0
1633.84,68.0
1639.28,76.0
1644.72,65.0
1650.17,70.0
1655.61,79.0
1661.05,65.0
1666.49,70.0
1671.93,76.0
1677.37,65.0
1682.81,66.0
1688.25,74.0
1693.69,75.0
1699.13,72.0
1704.57,66.0
1710.01,82.0
1715.45,63.0
1720.89,61.0
1726.33,58.0
1731.77,53.0
1737.21,68.0
1742.65,60.0
1748.09,63.0
1753.54,54.0
1758.98,45.0
1764.42,63.0
1769.86,32.0
1775.3,23.0
1780.74,23.0
1786.18,23.0
1791.62,23.0
1797.06,23.0
1802.5,23.0
1807.94,22.0
1813.38,22.0
1818.82,22.0
1824.26,22.0
1829.7,22.0
1835.14,22.0
1840.58,21.0
1846.02,21.0
1851.46,21.0
1856.91,21.0
1862.35,21.0
1867.79,21.0
1873.23,20.0
1878.67,20.0
1884.11,20.0
1889.55,20.0
1894.99,20.0
1900.43,20.0
1905.87,20.0
1911.31,19.0
1916.75,19.0
1922.19,19.0
1927.63,19.0
1933.07,19.0
1938.51,19.0
1943.95,19.0
1949.39,18.0
1954.83,18.0
1960.28,18.0
1965.72,18.0
1971.16,18.0
1976.6,18.0
1982.04,18.0
1987.48,17.0
1992.92,17.0
1998.36,0.0
2003.8,48.0
2009.24,0.0
2014.68,627.0
2020.12,537.0
2025.56,40.0
2031.0,36.0
2036.44,39.0
2041.88,52.0
2047.32,37.0
2052.76,37.0
2058.2,27.0
2063.65,27.0
2069.09,12.0
2074.53,0.0
2079.97,0.0
2085.41,22.0
2090.85,46.0
2096.29,25.0
2101.73,49.0
2107.17,34.0
2112.61,57.0
2118.05,25.0
2123.49,43.0
2128.93,38.0
2134.37,45.0
2139.81,17.0
2145.25,30.0
2150.69,54.0
2156.13,20.0
2161.57,51.0
2167.02,54.0
2172.46,17.0
2177.9,2.0
2183.34,39.0
2188.78,25.0
2194.22,56.0
2199.66,51.0
2205.1,53.0
2210.54,28.0
2215.98,5.0
2221.42,22.0
2226.86,5.0
2232.3,30.0
2237.74,55.0
2243.18,44.0
2248.62,54.0
2254.06,1.0
2259.5,20.0
2264.94,47.0
2270.39,15.0
2275.83,732.0
2281.27,26.0
2286.71,0.0
2292.15,24.0
2297.59,48.0
2303.03,1.0
2308.47,26.0
2313.91,4.0
2319.35,46.0
2324.79,43.0
2330.23,13.0
2335.67,17.0
2341.11,636.0
2346.55,88.0
2351.99,17.0
2357.43,0.0
2362.87,33.0
2368.32,33.0
2373.76,0.0
2379.2,6.0
2384.64,64.0
2390.08,0.0
2395.52,77.0
2400.96,57.0
2406.4,135.0
2411.84,24.0
2417.28,609.0
2422.72,430.0
2428.16,472.0
2433.6,828.0
2439.04,93.0
2444.48,36.0
2449.92,803.0
2455.36,26.0
2460.8,3.0
2466.24,628.0
2471.69,924.0
2477.13,742.0
2482.57,2431.0
2488.01,2876.0
