wavelength_nm,value
414.13,177.0
417.32,174.0
420.52,178.0
423.72,156.0
426.91,170.0
430.11,235.0
433.31,162.0
436.5,187.0
439.7,179.0
442.9,177.0
446.09,156.0
449.29,172.0
452.49,179.0
455.68,180.0
458.88,189.0
462.08,193.0
465.27,171.0
468.47,167.0
471.67,167.0
474.86,176.0
478.06,187.0
481.26,197.0
484.45,197.0
487.65,202.0
490.85,199.0
494.04,183.0
497.24,201.0
500.43,208.0
503.63,207.0
506.83,213.0
510.03,202.0
513.22,238.0
516.42,247.0
519.61,240.0
522.81,227.0
526.01,258.0
529.2,247.0
532.4,288.0
535.6,277.0
538.79,303.0
541.99,297.0
545.19,297.0
548.38,310.0
551.58,333.0
554.78,321.0
557.97,336.0
561.17,347.0
564.37,362.0
567.56,355.0
570.76,351.0
573.96,370.0
577.15,367.0
580.35,358.0
583.55,345.0
586.74,359.0
589.94,335.0
593.14,350.0
596.33,334.0
599.53,324.0
602.73,337.0
605.92,309.0
609.12,320.0
612.32,308.0
615.51,305.0
618.71,282.0
621.91,294.0
625.1,294.0
628.3,299.0
631.5,285.0
634.69,280.0
637.89,291.0
641.09,301.0
644.28,303.0
647.48,306.0
650.67,275.0
653.87,288.0
657.07,280.0
660.27,243.0
663.46,244.0
666.66,228.0
669.85,223.0
673.05,218.0
676.25,218.0
679.45,209.0
682.64,235.0
685.84,267.0
689.03,265.0
692.23,262.0
695.43,259.0
698.62,257.0
701.82,254.0
705.02,251.0
708.21,248.0
711.41,246.0
714.61,243.0
717.8,240.0
721.0,238.0
724.2,235.0
727.39,232.0
730.59,229.0
733.79,227.0
736.98,224.0
740.18,221.0
743.38,204.0
746.57,209.0
749.77,217.0
752.97,217.0
756.16,217.0
759.36,217.0
762.56,217.0
765.75,216.0
768.95,216.0
772.15,216.0
775.34,227.0
778.54,214.0
781.74,235.0
784.93,206.0
788.13,243.0
791.33,240.0
794.52,237.0
797.72,233.0
800.92,230.0
804.11,227.0
807.31,224.0
810.51,220.0
813.7,217.0
816.9,214.0
820.1,211.0
823.29,207.0
826.49,204.0
829.68,201.0
832.88,198.0
836.08,194.0
839.28,191.0
842.47,188.0
845.67,174.0
848.86,179.0
852.06,194.0
855.26,186.0
858.46,198.0
861.65,195.0
864.85,187.0
868.04,209.0
871.24,163.0
874.44,182.0
877.63,180.0
880.83,194.0
884.03,153.0
887.22,160.0
890.42,187.0
893.62,190.0
896.81,190.0
900.01,188.0
903.21,186.0
906.4,183.0
909.6,181.0
912.8,179.0
915.99,176.0
919.19,174.0
922.39,172.0
925.58,169.0
928.78,167.0
931.98,165.0
935.17,162.0
938.37,160.0
941.57,158.0
944.76,155.0
947.96,153.0
951.16,151.0
954.35,148.0
957.55,146.0
960.75,144.0
963.94,141.0
967.14,139.0
970.1,137.0
975.54,135.0
980.98,131.0
986.42,127.0
991.86,123.0
997.3,119.0
1002.74,115.0
1008.18,104.0
1013.62,101.0
1019.06,92.0
1024.5,113.0
1029.95,106.0
1035.39,94.0
1040.83,103.0
1046.27,100.0
1051.71,99.0
1057.15,101.0
1062.59,112.0
1068.03,111.0
1073.47,98.0
1078.91,102.0
1084.35,101.0
1089.79,101.0
1095.23,100.0
1100.67,99.0
1106.11,98.0
1111.55,97.0
1116.99,96.0
1122.43,96.0
1127.87,95.0
1133.32,94.0
1138.76,93.0
1144.2,92.0
1149.64,91.0
1155.08,90.0
1160.52,90.0
1165.96,89.0
1171.4,88.0
1176.84,87.0
1182.28,86.0
1187.72,85.0
1193.16,85.0
1198.6,92.0
1204.04,88.0
1209.48,91.0
1214.92,84.0
1220.36,83.0
1225.8,88.0
1231.24,88.0
1236.69,94.0
1242.13,92.0
1247.57,101.0
1253.01,97.0
1258.45,99.0
1263.89,91.0
1269.33,100.0
1274.77,94.0
1280.21,88.0
1285.65,89.0
1291.09,93.0
1296.53,100.0
1301.97,84.0
1307.41,93.0
1312.85,102.0
1318.29,84.0
1323.73,94.0
1329.17,109.0
1334.61,107.0
1340.06,105.0
1345.5,103.0
1350.94,100.0
1356.38,98.0
1361.82,96.0
1367.26,94.0
1372.7,92.0
1378.14,90.0
1383.58,88.0
1389.02,86.0
1394.46,84.0
1399.9,81.0
1405.34,79.0
1410.78,77.0
1416.22,75.0
1421.66,73.0
1427.1,71.0
1432.54,69.0
1437.98,67.0
1443.43,65.0
1448.87,63.0
1454.31,61.0
1459.75,59.0
1465.19,57.0
1470.63,55.0
1476.07,53.0
1481.51,51.0
1486.95,49.0
1492.39,47.0
1497.83,55.0
1503.27,56.0
1508.71,47.0
1514.15,46.0
1519.59,56.0
1525.03,61.0
1530.47,63.0
1535.91,64.0
1541.35,55.0
1546.8,57.0
1552.24,65.0
1557.68,61.0
1563.12,82.0
1568.56,67.0
1574.0,69.0
1579.44,61.0
1584.88,64.0
1590.32,75.0
1595.76,63.0
1601.2,63.0
1606.64,66.0
1612.08,63.0
1617.52,68.0
1622.96,61.0
1628.4,66.0
1633.84,61.0
1639.28,68.0
1644.72,65.0
1650.17,65.0
1655.61,74.0
1661.05,66.0
1666.49,73.0
1671.93,82.0
1677.37,72.0
1682.81,68.0
1688.25,63.0
1693.69,73.0
1699.13,71.0
1704.57,72.0
1710.01,67.0
1715.45,71.0
1720.89,67.0
1726.33,60.0
1731.77,70.0
1737.21,70.0
1742.65,67.0
1748.09,66.0
1753.54,75.0
1758.98,64.0
1764.42,65.0
1769.86,66.0
1775.3,85.0
1780.74,84.0
1786.18,83.0
1791.62,83.0
1797.06,82.0
1802.5,81.0
1807.94,80.0
1813.38,79.0
1818.82,78.0
1824.26,77.0
1829.7,76.0
1835.14,75.0
1840.58,74.0
1846.02,73.0
1851.46,73.0
1856.91,72.0
1862.35,71.0
1867.79,70.0
1873.23,69.0
1878.67,68.0
1884.11,68.0
1889.55,67.0
1894.99,66.0
1900.43,65.0
1905.87,64.0
1911.31,63.0
1916.75,63.0
1922.19,62.0
1927.63,61.0
1933.07,60.0
1938.51,59.0
1943.95,59.0
1949.39,58.0
1954.83,57.0
1960.28,56.0
1965.72,55.0
1971.16,55.0
1976.6,54.0
1982.04,53.0
1987.48,52.0
1992.92,51.0
1998.36,89.0
2003.8,187.0
2009.24,125.0
2014.68,124.0
2020.12,37.0
2025.56,69.0
2031.0,36.0
